search,date,sentiment
soja brasil,2023-05-28 17:51:26.871483,0
soja brasil,2023-05-28 17:51:26.872481,0
soja brasil,2023-05-28 17:51:26.873478,0
soja brasil,2023-05-28 17:51:26.874476,0
soja brasil,2023-05-28 17:51:26.875472,0
preço soja,2023-05-28 17:51:26.876499,0
preço soja,2023-05-28 17:51:26.877468,-1
preço soja,2023-05-28 17:51:26.878505,0
preço soja,2023-05-28 17:51:26.879462,0
preço soja,2023-05-28 17:51:26.880480,1
preço soja,2023-05-28 17:51:26.881457,0
preço soja,2023-05-28 17:51:26.882454,0
preço soja,2023-05-28 17:51:26.883452,0
preço soja,2023-05-28 17:51:26.884473,1
preço soja,2023-05-28 17:51:26.885447,0
preço soja,2023-05-28 17:51:26.886444,0
preço soja,2023-05-28 17:51:26.887441,0
preço soja,2023-05-28 17:51:26.888439,0
preço soja,2023-05-28 17:51:26.889436,0
preço soja,2023-05-28 17:51:26.890435,0
preço soja,2023-05-28 17:51:26.891431,0
preço soja,2023-05-28 17:51:26.892428,0
preço soja,2023-05-28 17:51:26.893425,0
preço soja,2023-05-28 17:51:26.894424,0
preço soja,2023-05-28 17:51:26.895419,0
preço soja,2023-05-28 17:51:26.896417,0
preço soja,2023-05-28 17:51:26.897439,0
preço soja,2023-05-28 17:51:26.898412,0
preço soja,2023-05-28 17:51:26.899410,0
preço soja,2023-05-28 17:51:26.900407,0
preço soja,2023-05-28 17:51:26.901403,0
preço soja,2023-05-28 17:51:26.902401,0
preço soja,2023-05-28 17:51:26.903398,0
preço soja,2023-05-28 17:51:26.904396,0
preço soja,2023-05-28 17:51:26.905393,0
preço soja,2023-05-28 17:51:26.906390,-1
preço soja,2023-05-28 17:51:26.907387,0
preço soja,2023-05-28 17:51:26.908385,1
preço soja,2023-05-28 17:51:26.909382,0
preço soja,2023-05-28 17:51:26.910408,0
preço soja,2023-05-28 17:51:26.911419,0
preço soja,2023-05-28 17:51:26.912375,1
preço soja,2023-05-28 17:51:26.913372,0
preço soja,2023-05-28 17:51:26.914397,0
preço soja,2023-05-28 17:51:26.915367,0
preço soja,2023-05-28 17:51:26.916365,0
preço soja,2023-05-28 17:51:26.917361,1
preço soja,2023-05-28 17:51:26.918359,1
preço soja,2023-05-28 17:51:26.919356,0
preço soja,2023-05-28 17:51:26.920353,0
preço soja,2023-05-28 17:51:26.921350,0
preço soja,2023-05-28 17:51:26.922373,0
preço soja,2023-05-28 17:51:26.923345,0
preço soja,2023-05-28 17:51:26.924343,0
preço soja,2023-05-28 17:51:26.925339,0
preço soja,2023-05-28 17:51:26.926337,0
preço soja,2023-05-28 17:51:26.927334,0
preço soja,2023-05-28 17:51:26.928332,0
preço soja,2023-05-28 17:51:26.929331,0
preço soja,2023-05-28 17:51:26.930328,0
preço soja,2023-05-28 17:51:26.931324,0
preço soja,2023-05-28 17:51:26.932321,0
preço soja,2023-05-28 17:51:26.933319,0
preço soja,2023-05-28 17:51:26.934316,0
preço soja,2023-05-28 17:51:26.935313,0
preço soja,2023-05-28 17:51:26.936310,0
semeadura soja,2023-05-28 17:51:26.937307,0
semeadura soja,2023-05-28 17:51:26.938305,0
semeadura soja,2023-05-28 17:51:26.939303,0
semeadura soja,2023-05-28 17:51:26.940300,0
semeadura soja,2023-05-28 17:51:26.941298,0
semeadura soja,2023-05-28 17:51:26.942296,0
semeadura soja,2023-05-28 17:51:26.943292,0
semeadura soja,2023-05-28 17:51:26.945288,0
semeadura soja,2023-05-28 17:51:26.946285,0
semeadura soja,2023-05-28 17:51:26.947282,0
semeadura soja,2023-05-28 17:51:26.948279,0
